system,temporal_bin,metric,estimate,ci_lower,ci_upper
qwen3_8b_direct,early,cited_vs_u_roc_auc,0.5729850823420661,0.5441139153958402,0.5995678012093131
qwen3_8b_direct,early,x_vs_a_roc_auc,0.5032440220504009,0.473949259454392,0.5330273460092962
qwen3_8b_direct,early,pairwise_cited_over_U,0.5827171361502348,0.5478851232394367,0.6155002934272301
qwen3_8b_direct,early,pairwise_X_over_A,0.4878227699530517,0.44805237676056336,0.5286164906103287
qwen3_8b_direct,middle,accuracy,0.317103620474407,0.30024968789013734,0.33270911360799
qwen3_8b_direct,middle,macro_f1,0.2347962032420614,0.2191185780434592,0.25039221758943303
qwen3_8b_direct,middle,cited_vs_u_roc_auc,0.5260646803854732,0.4996963723365456,0.5545800588099146
qwen3_8b_direct,middle,x_vs_a_roc_auc,0.4563712494213693,0.42519901387310804,0.48521905553451433
qwen3_8b_direct,middle,pairwise_cited_over_U,0.5379213483146067,0.5037453183520599,0.5735018726591761
qwen3_8b_direct,middle,pairwise_X_over_A,0.4681647940074906,0.4250936329588015,0.5112359550561798
qwen3_8b_direct,late,accuracy,0.32060185185185186,0.3055555555555556,0.33622685185185186
qwen3_8b_direct,late,macro_f1,0.24166395064726473,0.22782619215217303,0.25648178701054825
qwen3_8b_direct,late,cited_vs_u_roc_auc,0.4827617127218364,0.45636393229166666,0.5089190259391878
qwen3_8b_direct,late,x_vs_a_roc_auc,0.4804883415316358,0.45324164496527775,0.5090909604673033
qwen3_8b_direct,late,pairwise_cited_over_U,0.484375,0.4505208333333333,0.5173611111111112
qwen3_8b_direct,late,pairwise_X_over_A,0.484375,0.4427083333333333,0.5260416666666666
qwen3_8b_hierarchical,early,accuracy,0.35168018539976825,0.33352668213457076,0.36951753206774085
qwen3_8b_hierarchical,early,macro_f1,0.2974256645638786,0.2784774817313071,0.31534592738425815
qwen3_8b_hierarchical,early,cited_vs_u_roc_auc,0.5561943552506751,0.5289067552227533,0.5840704112291666
qwen3_8b_hierarchical,early,x_vs_a_roc_auc,0.5063299446353571,0.47695236779651806,0.5370640996345819
qwen3_8b_hierarchical,early,pairwise_cited_over_U,0.5479460093896714,0.5130281690140844,0.5836304284037558
qwen3_8b_hierarchical,early,pairwise_X_over_A,0.5171654929577465,0.47652582159624407,0.5579555457746479
qwen3_8b_hierarchical,middle,accuracy,0.3564294631710362,0.33957553058676654,0.3739076154806492
qwen3_8b_hierarchical,middle,macro_f1,0.289833938949879,0.27062988578722813,0.3096091317703924
qwen3_8b_hierarchical,middle,cited_vs_u_roc_auc,0.5913070389541163,0.5619549693851786,0.6189004220496851
qwen3_8b_hierarchical,middle,x_vs_a_roc_auc,0.4625433096270112,0.4337387254695676,0.49038662170881897
qwen3_8b_hierarchical,middle,pairwise_cited_over_U,0.598314606741573,0.5627340823970037,0.6329588014981273
qwen3_8b_hierarchical,middle,pairwise_X_over_A,0.46629213483146065,0.4232209737827715,0.5075374531835204
qwen3_8b_hierarchical,late,accuracy,0.35648148148148145,0.33912037037037035,0.3732783564814814
qwen3_8b_hierarchical,late,macro_f1,0.28616784363204484,0.2685064683279448,0.3037328607791638
qwen3_8b_hierarchical,late,cited_vs_u_roc_auc,0.579626766251929,0.5491338094075521,0.6107637570228106
qwen3_8b_hierarchical,late,x_vs_a_roc_auc,0.4915515287422839,0.46464602623456797,0.5194906729239004
qwen3_8b_hierarchical,late,pairwise_cited_over_U,0.5677083333333334,0.5320963541666667,0.6041666666666666
qwen3_8b_hierarchical,late,pairwise_X_over_A,0.484375,0.4461371527777779,0.5243055555555556
